"Artist and Title","Days","Pk","(x?)","Total","Today"
"Jawsh 685 x Jason Derulo - Savage Love","339","1","(x38)","3,435,581","0"
"Post Malone - Better Now","416","6","","3,433,554","0"
"Billie Eilish & Khalid - lovely","801","36","","3,408,346","327"
"Ariana Grande - No Tears Left to Cry","384","1","(x6)","3,395,696","1,246"
"Myles Smith - Stargazing","556","11","","3,391,210","1,046"
"Post Malone - Circles","391","3","(x8)","3,387,856","0"
"Travis Scott - HIGHEST IN THE ROOM","439","2","(x26)","3,378,649","116"
"cassö, RAYE & D-Block Europe - Prada","403","5","","3,364,175","0"
"Lil Nas X & Jack Harlow - INDUSTRY BABY","302","2","(x10)","3,355,000","0"
"Clean Bandit - Solo","256","2","(x29)","3,314,962","0"
"Gayle - abcdefu","317","1","(x17)","3,314,719","0"
"The Weeknd & Ariana Grande - Save Your Tears","433","2","(x3)","3,309,915","0"
"Måneskin - Beggin","364","1","(x25)","3,290,386","0"
"Lewis Capaldi - Before You Go","475","9","","3,290,273","42"
"Calvin Harris, Sam Smith - Promises","286","2","(x20)","3,266,781","0"
"Bad Bunny - Tití Me Preguntó","779","2","(x4)","3,260,251","3,524"
"Ariana Grande - thank u, next","277","1","(x64)","3,251,297","0"
"Apache 207 - Roller","688","26","","3,235,494","150"
"Dennis Lloyd - Nevermind","353","8","","3,226,668","0"
"Riton & Nightcrawlers - Friday","320","3","(x5)","3,222,431","0"
"Chappell Roan - Good Luck, Babe","453","7","","3,220,600","277"
"Dua Lipa - Physical","336","3","(x4)","3,219,150","112"
"XXXTENTACION - Sad","379","1","(x4)","3,218,601","0"
"Chris Brown - Under the Influence","328","2","(x3)","3,217,018","0"
"Teddy Swims - Bad Dreams","476","9","","3,201,499","485"
"Panic! At the Disco - High Hopes","450","12","","3,188,925","0"
"Roddy Ricch - The Box","290","3","(x40)","3,165,016","0"
"Udo Lindenberg & Apache 207 - Komet","729","25","","3,162,912","619"
"The Weeknd - Save Your Tears","366","1","(x8)","3,154,161","62"
"J Balvin & Willy William - Mi Gente","280","1","(x1)","3,137,835","78"
"George Ezra - Shotgun","459","10","","3,132,089","0"
"benny blanco, Halsey & Khalid - Eastside","382","7","","3,117,636","0"
"DJ Snake - Taki Taki","306","1","(x14)","3,116,412","0"
"Olivia Rodrigo - vampire","351","2","(x16)","3,114,701","0"
"Ninho - Jefe","964","26","","3,106,895","1,861"
"The Chainsmokers & Coldplay - Something Just Like This","375","11","","3,105,529","24"
"Maroon 5 - Memories","335","4","","3,100,195","0"
"Loreen - Tattoo","391","2","(x28)","3,067,480","0"
"Tate McRae - Just Keep Watching","335","2","(x19)","3,033,437","4,937"
"Doja Cat - Paint The Town Red","266","1","(x50)","3,017,583","0"
"Daddy Yankee - Con Calma","289","4","","3,015,979","0"
"RAYE - WHERE IS MY HUSBAND","225","1","(x3)","3,015,641","13,395"
"Post Malone & Swae Lee - Sunflower","439","9","","3,010,251","0"
"Olivia Rodrigo - drivers license","274","1","(x49)","2,994,405","22"
"LINKIN PARK - The Emptiness Machine","577","3","(x2)","2,986,000","2,508"
"Halsey - Without Me","319","3","(x2)","2,967,515","0"
"Aya Nakamura - Djadja","728","26","","2,963,405","0"
"RAYE & 070 Shake - Escapism.","343","2","(x14)","2,958,352","139"
"Dua Lipa - Dance The Night","334","1","(x32)","2,950,436","0"
"Rema & Selena Gomez - Calm Down","446","3","(x13)","2,929,930","0"
"David Kushner - Daylight","371","2","(x26)","2,929,726","0"
"Olivia Dean - Man I Need","257","3","(x2)","2,916,558","12,117"
"Marshmello - Silence","354","9","","2,911,663","0"
"Kelly Clarkson - Underneath the Tree","323","3","(x3)","2,874,672","0"
"Billie Eilish - bury a friend","374","2","(x16)","2,872,503","0"
"Dua Lipa - IDGAF","259","5","","2,818,318","23"
"Ninho - VVS","829","28","","2,816,147","1,538"
"Justin Bieber - Peaches","218","1","(x17)","2,800,211","0"
"Post Malone - Wow.","323","4","","2,794,072","12"
"Ed Sheeran - Galway Girl","304","16","","2,789,063","611"
"Masked Wolf - Astronaut In the Ocean","279","1","(x1)","2,783,820","0"
"Kenya Grace - Strangers","280","2","(x9)","2,778,628","0"
"Meduza - Piece Of Your Heart","244","4","","2,778,334","0"
"Metro Boomin, The Weeknd & 21 Savage - Creepin'","274","1","(x4)","2,753,864","0"
"Lady Gaga & Ariana Grande - Rain On Me","333","1","(x5)","2,753,456","0"
"Ariana Grande - Santa Tell Me","345","4","","2,749,438","0"
"Camila Cabello - Bam Bam","249","3","(x18)","2,741,519","0"
"Imagine Dragons - Whatever It Takes","413","14","","2,734,984","0"
"Djo - End of Beginning","292","2","(x12)","2,732,700","6,403"
"Luis Fonsi & Demi Lovato - Échame La Culpa","291","8","","2,707,638","0"
"Pop Smoke - For the Night","281","4","","2,705,708","0"
"Maroon 5 - Girls Like You","274","6","","2,698,093","0"
"Bad Bunny - NUEVAYoL","421","2","(x3)","2,696,632","5,998"
"Iñigo Quintero - Si No Estás","333","2","(x5)","2,694,956","0"
"Dave & Central Cee - Sprinter","274","1","(x10)","2,682,603","0"
"James Hype & Miggy Dela Rosa - Ferrari","419","2","(x5)","2,680,734","0"
"Måneskin - I WANNA BE YOUR SLAVE","244","2","(x11)","2,673,546","0"
"Fleetwood Mac - Dreams","709","30","","2,673,087","2,044"
"KAROL G - Si Antes Te Hubiera Conocido","491","17","","2,660,395","2,407"
"Sabrina Carpenter - Taste","325","3","(x9)","2,656,271","478"
"David Guetta & Sia - Flames","239","3","(x7)","2,655,056","0"
"ANNA ASTI - По барам","856","60","","2,640,754","630"
"Dean Lewis - Be Alright","295","11","","2,630,466","0"
"HammAli & Navai - Птичка","525","52","","2,628,192","599"
"Charlie Puth - Attention","261","4","","2,625,703","0"
"Calvin Harris - Feels","239","4","","2,614,779","4"
"Dua Lipa - Houdini","283","1","(x6)","2,610,487","123"
"Calvin Harris, Rag’n’Bone Man - Giant","238","2","(x4)","2,596,945","0"
"Ed Sheeran - Beautiful People","268","4","","2,594,945","0"
"SDM - Bolide allemand","680","32","","2,594,262","238"
"Drake - In My Feelings","225","1","(x40)","2,593,309","0"
"Lady Gaga - Abracadabra","347","1","(x4)","2,590,861","83"
"Beyoncé - CUFF IT","356","3","(x5)","2,585,401","0"
"P!nk - What About Us","249","3","(x3)","2,575,701","0"
"Marshmello & Anne-Marie - FRIENDS","229","2","(x12)","2,571,635","0"
"Axwell Λ Ingrosso - More Than You Know","288","12","","2,567,006","0"
"Dasha - Austin","489","17","","2,565,763","0"
"Cardi B - WAP","227","1","(x34)","2,560,317","0"
"ATB, Topic & A7S - Your Love","398","6","","2,552,008","0"
"Ed Sheeran - Castle on the Hill","378","36","","2,551,131","960"
"Rema - Calm Down","541","16","","2,538,785","0"
"Doja Cat - Woman","329","4","","2,530,153","0"
"Adele - Someone Like You","418","22","","2,509,906","237"
"Tate McRae - you broke me first","278","6","","2,504,381","0"
"Dave & Tems - Raindance","190","1","(x16)","2,479,452","13,528"
"Noah Kahan - Stick Season","510","13","","2,473,419","389"
"Sabrina Carpenter - Please Please Please","339","3","(x1)","2,466,432","47"
"Eminem - River","223","2","(x1)","2,448,136","0"
"The Goo Goo Dolls - Iris","522","21","","2,425,561","3,877"
"The Weeknd - Starboy","525","19","","2,422,851","48"
"Kygo & Whitney Houston - Higher Love","381","8","","2,411,732","0"
"Miyagi & Andy Panda - Minor","591","83","","2,399,016","227"
"Jonas Brothers - Sucker","226","1","(x16)","2,398,940","0"
"sombr - back to friends","381","8","","2,392,421","4,409"
"Juice WRLD - Lucid Dreams","358","2","(x2)","2,389,136","0"
"Selena Gomez & Marshmello - Wolves","213","5","","2,383,929","0"
"Kate Bush - Running Up That Hill","249","1","(x16)","2,381,791","375"
"Tiësto & Tate McRae - 10:35","341","8","","2,373,094","0"
"XXXTENTACION - Moonlight","335","2","(x1)","2,370,925","0"
"José Feliciano - Feliz Navidad","285","4","","2,369,157","0"
"Doja Cat - Kiss Me More","225","2","(x4)","2,359,741","0"
"Sabrina Carpenter - Manchild","328","2","(x8)","2,354,702","3,047"
"Andy Williams - It's the Most Wonderful Time of the Year","290","3","(x4)","2,344,936","0"
"Harry Styles - Adore You","330","8","","2,342,355","0"
"Trevor Daniel - Falling","229","5","","2,340,573","0"
"Bad Bunny - BAILE INoLVIDABLE","459","2","(x3)","2,334,475","5,430"
"Shakin' Stevens - Merry Christmas Everyone","347","13","","2,303,641","0"
"Beyoncé - TEXAS HOLD 'EM","237","1","(x1)","2,303,034","0"
"Sia - Snowman","304","6","","2,302,786","0"
"Lil Nas X - THATS WHAT I WANT","321","4","","2,297,146","0"
"Post Malone - I Had Some Help","478","12","","2,285,957","375"
"Vance Joy - Riptide","412","56","","2,274,498","713"
"DJ Snake & J Balvin - Loco Contigo","258","6","","2,269,845","0"
"JONY - Комета","329","58","","2,266,979","354"
"Bad Bunny - MIA","294","5","","2,253,467","1,766"
"Dua Lipa - Break My Heart","254","6","","2,247,251","9"
