"Artist and Title","Wks","T10","Pk","(x?)","PkStreams","Total"
"Ninho - La vie qu'on mène","370","6","3","(x2)","4,129,900","275,386,924"
"Damso - Θ. Macarena","369","19","1","(x11)","1,460,822","183,196,719"
"Jungeli - Petit génie","114","47","1","(x21)","3,541,407","178,671,494"
"The Weeknd - Blinding Lights","270","26","1","(x2)","2,111,806","175,075,695"
"Naps - La kiffance","174","36","1","(x8)","3,638,988","173,035,426"
"SDM - Bolide allemand","168","37","1","(x6)","2,335,453","170,711,053"
"GIMS - SPIDER","103","41","1","(x3)","4,063,080","170,538,452"
"Ninho - Lettre à une femme","286","14","1","(x6)","5,884,933","165,650,941"
"GIMS - SOIS PAS TIMIDE","93","38","1","(x8)","4,211,178","161,820,690"
"13 Organisé - Bande organisée","204","21","1","(x11)","4,694,448","154,866,178"
"Ninho - Putana","271","4","4","","3,695,340","152,408,425"
"Werenoi - Laboratoire","164","9","9","","1,967,315","150,437,441"
"Tom Odell - Another Love","295","","17","","1,026,092","147,687,736"
"Tiakola - Meuda","163","29","2","(x5)","2,034,751","142,962,766"
"Benson Boone - Beautiful Things","119","17","1","(x5)","3,089,195","130,167,356"
"SDM - CARTIER SANTOS","83","21","1","(x5)","4,838,383","128,388,210"
"Macklemore & Ryan Lewis - Can't Hold Us","218","","30","","948,457","126,207,849"
"Lomepal - Trop beau","259","11","1","(x1)","1,560,095","126,098,736"
"Werenoi - Chemin d'or","162","1","7","","2,221,109","125,924,897"
"Booba - Dolce Camara","116","1","2","(x1)","2,902,550","123,618,289"
"Favé - FLASHBACK","101","20","2","(x8)","2,778,529","120,496,353"
"disiz - melodrama","31","30","1","(x24)","6,081,863","119,567,706"
"GIMS - CIEL","79","20","1","(x7)","4,333,792","118,029,185"
"Gazo - DIE","93","27","1","(x13)","3,883,997","117,490,974"
"Werenoi - Tu connais","134","4","7","","1,920,423","116,802,252"
"OBOY - Cabeza","182","7","5","","1,648,154","114,709,027"
"OBOY - TDB","147","22","1","(x10)","3,073,592","113,780,693"
"Soolking - Casanova","85","30","1","(x3)","2,764,718","113,531,386"
"Carbonne - Imagine","67","25","1","(x10)","5,597,187","111,691,952"
"Ninho - Jefe","116","25","1","(x13)","5,979,789","111,134,407"
"Heuss L'enfoiré - Saiyan","95","26","1","(x6)","2,926,138","110,360,908"
"Werenoi - Solitaire","154","","14","","1,256,275","109,898,546"
"Tones And I - Dance Monkey","140","22","2","(x5)","2,463,193","109,036,341"
"PLK - Nouvelles","147","8","3","(x1)","1,644,672","108,262,769"
"Harry Styles - As It Was","124","20","1","(x2)","2,028,339","105,533,923"
"Teddy Swims - Lose Control","119","12","5","","2,134,556","103,137,347"
"OBOY - Avec Toi","196","","36","","768,336","102,169,849"
"PNL - Au DD","160","11","1","(x8)","9,753,368","101,854,799"
"GIMS - PARISIENNE","39","27","1","(x7)","4,934,014","100,173,975"
"Favé - Urus","123","8","3","(x1)","1,680,873","100,067,288"
"Dinos - Placebo","171","","43","","962,712","99,352,128"
"Ninho - Maman ne le sait pas","162","12","2","(x3)","5,288,961","98,447,738"
"Alonzo - TOUT VA BIEN","80","28","1","(x5)","5,072,848","97,533,703"
"Miley Cyrus - Flowers","94","24","1","(x6)","3,538,517","96,871,982"
"Damso - Δ. Dieu ne ment jamais","174","1","8","","1,031,942","94,028,628"
"PLK - Émotif (Booska 1H)","179","","38","","751,036","92,436,656"
"GIMS - NINAO","62","23","1","(x7)","3,856,631","92,392,122"
"KeBlack - Aucune attache","81","11","5","","2,452,950","91,877,780"
"Soolking - Balader","106","25","2","(x6)","2,096,398","90,888,493"
"Gradur - Ne reviens pas","88","20","1","(x9)","5,511,081","90,036,935"
"FloyyMenor - Gata Only","70","20","2","(x1)","3,002,068","89,734,655"
"Nono La Grinta - Paris","56","14","1","(x1)","4,009,753","89,022,292"
"David Guetta - I'm Good (Blue)","119","15","3","(x1)","1,658,747","88,585,993"
"R2 - RUINART","46","23","1","(x2)","3,037,062","87,961,385"
"Gazo - MAMI WATA","91","15","3","(x3)","2,630,799","87,665,568"
"VEN1 - Hakayet","90","8","4","","2,359,819","87,129,064"
"Gambi - PETETE","112","14","1","(x1)","3,469,699","86,875,619"
"Hamza - KYKY2BONDY","52","16","1","(x6)","5,794,923","86,533,571"
"Íñigo Quintero - Si No Estás","58","26","1","(x1)","3,354,092","86,483,618"
"KeBlack - LAISSE MOI","74","21","2","(x1)","2,612,523","86,286,657"
"SDM - Mr. Ocho","126","8","6","","1,730,483","86,142,876"
"Werenoi - Pétunias","82","2","6","","2,418,457","85,112,856"
"SDM - POUR ELLE","76","10","1","(x2)","4,445,896","84,772,688"
"Bouss - Ca parle mal","76","18","3","(x4)","3,000,488","84,404,549"
"RnBoi - MON BÉBÉ","27","26","2","(x16)","4,626,755","84,061,161"
"PNL - La misère est si belle","177","","14","","2,627,267","83,662,665"
"Lady Gaga - Die With A Smile","81","12","5","","2,039,451","83,177,316"
"KeBlack - Melrose Place","56","22","2","(x3)","3,036,900","83,020,565"
"Werenoi - Pyramide","113","6","1","(x2)","3,884,660","82,168,952"
"Gazo - NANANI NANANA","53","14","1","(x7)","6,712,735","81,708,890"
"Zola - AMBER","77","23","1","(x9)","2,522,084","80,710,797"
"Jul - La bandite","148","","11","","1,476,271","80,536,388"
"Billie Eilish - BIRDS OF A FEATHER","91","","13","","1,520,913","80,312,452"
"Ninho - Goutte d'eau","144","7","4","","3,821,419","80,288,249"
"Naps - Best life","102","17","3","(x3)","1,726,054","79,515,177"
"Dadju - I love you","73","14","2","(x1)","2,596,816","79,461,512"
"KeBlack - Boucan","71","13","2","(x1)","2,934,130","79,080,286"
"OneRepublic - I Ain't Worried","110","12","6","","1,514,634","78,667,752"
"Ninho - Zipette","147","4","4","","2,242,572","78,230,956"
"Gazo - FLEURS","93","1","10","","1,532,982","78,107,869"
"PNL - Onizuka","206","7","1","(x3)","777,076","77,466,901"
"Jul - Sous la lune","86","3","3","(x1)","2,752,066","77,016,252"
"L2B - Pélican","63","12","2","(x1)","2,772,066","76,979,006"
"ZEG P - FADE UP","68","22","1","(x4)","3,505,780","76,525,742"
"Ninho - VVS","82","21","2","(x9)","4,294,602","76,393,689"
"Tiakola - MANON B","71","9","2","(x2)","3,253,038","75,365,066"
"Jul - J'oublie tout","149","","28","","1,218,597","75,124,083"
"ROSÉ - APT.","68","14","2","(x1)","2,244,792","74,279,248"
"Bleu Soleil - Soleil Bleu","46","21","2","(x4)","3,115,787","74,274,116"
"KeBlack - Mood","51","22","3","(x6)","2,907,195","74,101,456"
"Louise Attaque - J't'emmène au vent","172","","49","","765,050","73,999,289"
"Franglish - Position","59","11","1","(x2)","3,129,663","73,352,961"
"Dadju - Reine","177","11","2","(x1)","1,116,064","73,173,448"
"Damso - Alpha","64","13","1","(x1)","3,549,371","72,540,676"
"Hatik - Angela","76","19","1","(x2)","2,610,504","72,509,457"
"Soso Maness - Petrouchka","66","17","1","(x7)","5,924,978","72,447,396"
"Heuss L'enfoiré - Moulaga","112","12","2","(x5)","3,525,919","72,428,107"
"PNL - Deux frères","141","6","2","(x2)","4,110,300","71,993,037"
"Gazo - HAINE&SEX","113","12","1","(x1)","2,502,317","71,762,251"
"Charlotte Cardin - Feel Good","68","7","6","","1,909,443","71,375,862"
"Timal - Filtré","83","19","2","(x5)","1,838,865","71,230,447"
"Guy2Bezbar - Monaco","61","12","3","(x1)","2,656,819","71,015,795"
"Naps - 6.3","109","15","1","(x2)","3,167,571","70,680,556"
"Nono La Grinta - LOVE YOU","29","25","3","(x9)","3,728,987","70,106,416"
"Dr. Yaro - Minimum ça","60","11","5","","2,169,951","69,813,830"
"Sabrina Carpenter - Espresso","73","5","7","","2,132,024","69,526,672"
"Dua Lipa - Fever","98","19","1","(x1)","2,158,697","69,468,920"
"Rim'K - Air Max","116","17","1","(x3)","1,935,120","69,226,251"
"Damso - Feu de bois","153","9","2","(x1)","2,677,602","68,866,651"
"Alex Warren - Ordinary","59","1","10","","1,673,754","68,854,088"
"Ed Sheeran - Shape of You","121","34","1","(x16)","1,772,495","68,495,730"
"Bad Bunny - DtMF","67","8","2","(x1)","2,881,021","68,112,437"
"Soolking - Suavemente","82","21","2","(x2)","1,886,952","67,645,789"
"Damso - Ε. Signaler","162","7","5","","1,098,398","67,473,734"
"GAULOIS - Jolie","56","24","1","(x1)","3,121,315","67,282,442"
"Lewis Capaldi - Someone You Loved","157","","28","","734,968","67,126,867"
"Gambi - Popopop","56","15","1","(x7)","6,150,947","66,687,027"
"Rema - Calm Down","82","12","2","(x1)","2,144,859","66,581,675"
"Josman - Intro","118","","23","","967,385","66,551,295"
"Tiakola - Gasolina","82","5","6","","1,638,269","66,455,864"
"Therapie TAXI - Eté 90","134","","14","","1,051,398","66,257,646"
"Theodora - KONGOLESE SOUS BBL","78","1","10","","2,102,818","65,814,625"
"Djadja & Dinaz - J'fais mes affaires","179","","18","","698,431","65,473,209"
"Farruko - Pepas","86","12","2","(x1)","1,839,896","65,216,300"
"Dadju - Grand bain","75","18","2","(x6)","2,753,818","64,984,993"
"DJ Kawest - Chambre 04","56","10","3","(x1)","2,897,167","64,650,953"
"Koba LaD - Daddy chocolat","73","14","2","(x1)","2,345,290","64,549,203"
"Ninho - Un Poco","115","8","7","","1,189,719","64,219,177"
"Djadja & Dinaz - Dans le Réseau","124","","16","","1,086,290","64,091,037"
"The Kid LAROI - Stay","73","13","3","(x3)","2,097,551","63,563,237"
"Lola Young - Messy","65","1","9","","1,672,706","63,409,780"
"SANTA - Popcorn Salé","88","","11","","1,471,156","63,118,499"
"SAINt JHN - Roses - Imanbek Remix","93","11","3","(x2)","1,459,883","62,533,189"
"Lil Nas X - MONTERO (Call Me By Your Name)","63","20","1","(x3)","2,712,693","62,366,621"
"Werenoi - La League","87","","22","","1,146,757","62,187,028"
"Vegedream - Elle est bonne sa mère","80","16","1","(x3)","2,343,077","62,141,536"
"Ninho - Vrais","75","","16","","1,467,836","61,693,858"
"Maes - Distant","75","11","2","(x1)","4,181,473","61,594,490"
"Vacra - Tiki Taka","87","1","10","","1,236,074","61,161,149"
"PLK - Attentat","106","4","7","","1,600,281","60,904,543"
"Disturbed - The Sound of Silence - CYRIL Remix","58","7","7","","2,029,349","60,900,419"
"PLK - Faut pas","76","1","8","","1,749,614","60,825,790"
"Maes - Blanche","80","6","2","(x1)","4,854,538","60,606,798"
"Bosh - Djomb","59","12","1","(x6)","4,886,988","60,487,917"
"KAROL G - Si Antes Te Hubiera Conocido","67","","17","","1,417,264","60,476,254"
"Gazo - RAPPEL","76","9","4","","2,362,618","60,394,105"
"Theodora - ZOU BISOU","48","9","6","","1,874,527","60,231,042"
"TRIANGLE DES BERMUDES - Charger","44","12","1","(x4)","3,927,710","60,194,272"
"Werenoi - All eyes on me","106","","50","","794,644","59,806,809"
"Werenoi - Piano","52","9","4","","2,628,038","59,707,961"
"Alonzo - La Seleçao","73","10","2","(x3)","2,439,194","59,380,615"
"Nekfeu - Elle pleut","151","3","4","","3,125,374","59,297,058"
"Elton John - Cold Heart - PNAU Remix","88","","11","","1,310,547","59,149,566"
"Joé Dwèt Filé - 4 Kampé","52","10","6","","2,011,386","58,914,944"
"Bouss - Parler tout bas","82","","27","","1,120,483","58,712,855"
"Niska - Médicament","65","19","1","(x1)","1,981,879","58,439,580"
"GIMS - AIR FORCE BLANCHE","45","14","1","(x1)","3,078,725","58,058,401"
"Jul - Tu la love","112","","40","","1,026,072","57,891,753"
"Pierre de Maere - Un jour je marierai un ange","90","1","8","","1,344,248","57,614,157"
"RK - VIANO","41","12","2","(x2)","3,234,047","57,019,910"
"Tayc - Le temps","72","14","1","(x2)","2,681,631","56,991,432"
"Naps - C'est carré le S","66","17","1","(x2)","2,589,512","56,848,199"
"Angèle - Balance ton quoi","89","7","2","(x1)","1,831,453","56,553,919"
"Tate McRae - greedy","49","12","6","","1,741,990","56,193,219"
"Glass Animals - Heat Waves","87","","11","","1,155,508","56,076,265"
"Jul - JCVD","95","7","3","(x1)","2,251,760","55,772,086"
"Yorssy - CRF - Nouvelle École","53","9","5","","2,233,431","55,629,730"
"Vance Joy - Riptide","184","","26","","739,514","55,507,600"
"Rim'K - Run","51","6","6","","1,951,564","55,173,945"
"David Kushner - Daylight","66","1","10","","1,262,101","55,068,654"
"Damso - Σ. MOROSE","96","6","1","(x1)","3,445,266","55,058,979"
"Werenoi - Maudit","72","2","9","","1,744,115","54,527,436"
"Franglish - Génération impolie","28","18","4","","3,008,243","54,524,904"
"Jul - J'ai tout su","67","12","3","(x1)","1,887,728","54,245,622"
"Yanns - Clic clic pan pan","71","8","8","","1,358,643","54,129,374"
"Theodora - FASHION DESIGNA","55","1","10","","1,562,123","53,816,899"
"Loreen - Tattoo","57","5","7","","1,374,416","53,673,101"
"Jul - Oh qu'elle est belle","63","5","6","","2,204,911","53,578,522"
"Naza - Joli bébé","63","19","2","(x4)","2,811,957","53,554,306"
"Beendo Z - Pas bête","81","1","9","","1,344,799","53,524,071"
"Lil Nas X - INDUSTRY BABY","57","14","2","(x2)","2,370,942","53,447,757"
"Niska - Adriano","42","7","4","","2,827,883","53,342,876"
"SANTA - Recommence-moi","73","","16","","1,373,433","53,244,646"
"THEODORT - Wayeh","39","13","4","","2,359,628","53,226,807"
"PLK - Demain","54","11","1","(x2)","2,419,579","53,086,104"
"Werenoi - 10.03.2023","94","","21","","1,081,082","52,987,295"
"Jul - Phénoménal","55","5","1","(x1)","3,273,034","52,915,530"
"Booba - 92i veyron","142","","11","","871,040","52,895,338"
"Soolking - Tour du monde","40","5","8","","1,770,733","52,815,478"
"Orelsan - La Quête","67","2","2","(x1)","3,483,146","52,715,893"
"Angèle - Tout oublier","78","19","1","(x3)","1,411,270","52,691,500"
"Soolking - Meleğim","72","12","4","","1,882,666","52,214,472"
"ROSALÍA - DESPECHÁ","67","7","7","","1,346,509","52,163,081"
"Werenoi - Poney","55","4","6","","2,255,863","51,962,956"
"Aya Nakamura - Pookie","95","5","8","","1,379,492","51,756,758"
"GIMS - APPELLE TA COPINE","45","5","8","","2,090,330","51,247,762"
"Coldplay - Viva La Vida","106","","55","","760,623","50,994,002"
"Damso - Impardonnable","47","4","3","(x2)","3,349,499","50,944,373"
"Gambi - Hé oh","55","13","1","(x2)","3,105,777","50,881,119"
"Ninho - Tout en Gucci","72","11","5","","1,438,591","50,709,218"
"disiz - RENCONTRE","64","9","1","(x5)","2,546,519","50,701,829"
"Orelsan - Jour meilleur","68","11","1","(x1)","2,998,790","50,640,854"
"Maes - Madrina","81","16","1","(x4)","1,878,305","50,329,260"
"Lacrim - No lo sé","57","7","4","","2,261,490","50,201,251"
"Zola - Temps en temps","39","10","2","(x3)","2,880,713","50,162,144"
"Maes - Dybala","64","5","4","","3,953,657","50,112,814"
"Nekfeu - Tricheur","68","13","1","(x3)","4,842,297","49,965,697"
"Bad Bunny - NUEVAYoL","57","2","9","","1,934,839","49,873,578"
"Aya Nakamura - Djadja","85","15","2","(x2)","1,334,366","49,733,820"
"Ninho - Coco","46","11","6","","2,321,531","49,660,690"
"Nekfeu - On verra","181","15","1","(x1)","514,976","49,575,307"
"Dadju - Compliqué","83","4","7","","1,389,781","49,411,081"
"Ed Sheeran - Bad Habits","60","13","6","","1,569,238","49,305,022"
"Koba LaD - Doudou","56","15","4","","1,460,894","48,498,882"
"Heuss L'enfoiré - Mélanine","37","7","4","","2,735,723","48,498,256"
"Don Omar - Danza Kuduro","99","","53","","747,174","48,492,008"
"Cheu-B - Catalina","43","7","9","","2,050,160","48,481,599"
"Dua Lipa - Houdini","49","","11","","1,632,152","48,427,844"
"Lomepal - 1000°C","88","13","2","(x2)","1,503,315","48,407,094"
"Mariah Carey - All I Want for Christmas Is You","56","8","2","(x2)","3,214,277","48,343,005"
"Damso - Pa Pa Paw","48","3","7","","2,140,722","48,316,613"
"HUNTR/X - Golden","44","1","7","","1,651,235","48,100,681"
"Ofenbach - Overdrive","57","","13","","1,346,724","48,048,013"
"PLK - Pilote","73","7","6","","1,811,700","47,624,919"
"47ter - Côte Ouest","84","3","7","","1,271,438","47,424,175"
"Shawn Mendes - Señorita","65","13","3","(x4)","1,669,298","47,266,189"
"PLK - Un peu de haine","74","9","1","(x1)","2,586,096","47,219,113"
"Ziak - Fixette - Bonus","65","10","1","(x1)","2,306,159","46,954,970"
"Heuss L'enfoiré - Khapta","60","9","1","(x3)","2,683,857","46,935,828"
"Vegedream - Ramenez la coupe à la maison","66","20","1","(x5)","2,165,004","46,915,283"
"Vacra - Confidences","46","1","8","","1,995,758","46,893,362"
"Lost Frequencies - Where Are You Now","72","","16","","1,083,440","46,634,927"
"Lady Gaga - Shallow","96","4","5","","1,203,944","46,618,205"
"L2B - Movie","71","","47","","902,935","46,494,334"
"Nekfeu - Dans l'univers","78","3","3","(x1)","3,205,854","46,451,615"
"24kGoldn - Mood","61","10","3","(x2)","1,719,320","46,408,020"
"GIMS - SEYA","74","","23","","1,048,117","46,177,011"
"Arcane - Ma Meilleure Ennemie - from the series Arcane League of Legends","33","7","1","(x1)","4,366,532","46,167,367"
"Djadja & Dinaz - Capitaine","64","8","6","","1,646,924","46,131,786"
"Booba - Mona Lisa","60","9","1","(x2)","4,186,609","46,031,714"
"Werenoi - Mauvaise","78","","21","","1,053,860","45,910,745"
"Vald - Désaccordé","83","20","1","(x5)","2,060,658","45,905,590"
"Moha La Squale - Ma belle","58","14","1","(x4)","2,086,691","45,887,470"
"Tiakola - M3lo","101","","31","","824,642","45,881,223"
"Hornet La Frappe - Gasolina","61","","11","","1,330,738","45,669,436"
"Hamza - Nocif","47","11","1","(x3)","3,014,989","45,668,779"
"Nuit Incolore - Dépassé","72","","16","","1,090,756","45,640,906"
"The Weeknd - Save Your Tears","98","2","5","","1,176,785","45,554,234"
"Josman - J'aime Bien!","122","","94","","561,069","45,477,620"
"Ayra Starr - Rush","53","7","6","","1,436,570","45,367,028"
"GP Explorer - Un monde à l'autre","28","11","1","(x1)","4,184,629","45,321,602"
"Bakermat - Baianá","78","","18","","963,161","45,277,519"
"DaBaby - ROCKSTAR","63","12","4","","1,881,873","45,124,828"
"Landy - Médusa","93","3","1","(x1)","1,421,135","45,007,724"
"Lil Nas X - Old Town Road - Remix","56","14","2","(x1)","2,044,453","44,759,276"
"Metro Boomin - Creepin'","57","5","7","","1,447,208","44,635,571"
"Artemas - i like the way you kiss me","45","5","6","","2,135,102","44,503,976"
"Angèle - Démons","50","12","5","","2,469,523","44,227,199"
"Lord Huron - The Night We Met","94","","88","","634,665","44,201,066"
"CYRIL - Stumblin' In","42","","13","","1,792,049","44,049,556"
"Helena - Mauvais Garçon","61","","21","","1,287,759","44,042,567"
"Damso - Γ. Mosaïque solitaire","112","6","4","","1,246,351","43,846,820"
"PNL - Bené","127","8","5","","749,393","43,789,108"
"Kalash - Mwaka Moon","59","20","1","(x15)","2,657,768","43,751,843"
"Lomepal - Decrescendo","52","","11","","1,452,037","43,740,809"
"GLK - 93% [Tijuana]","64","","12","","1,452,341","43,678,053"
"Niska - Réseaux","62","20","1","(x11)","2,219,219","43,485,870"
"Ninho - Dis-moi que tu m'aimes","113","","58","","772,189","43,407,274"
"UZI - À la fête","55","10","6","","1,660,848","43,349,390"
"Jul - Mimi","41","8","2","(x1)","2,996,054","43,228,473"
"Koba LaD - RR 9.1","61","7","2","(x1)","1,910,706","42,994,477"
"BENNETT - Vois sur ton chemin - Techno Mix","55","3","9","","1,444,962","42,924,508"
"Kore - Mon poto - Extrait de la BO de « En Passant Pécho »","56","8","3","(x1)","1,896,873","42,888,030"
"Jul - Pic et pic, alcool et drame","60","7","4","","1,837,504","42,884,289"
"Dave - Meridian","38","10","3","(x3)","2,651,205","42,862,807"
"Taylor Swift - The Fate of Ophelia","30","10","4","","2,200,119","42,853,580"
"Kalash - Tu le sais","73","","26","","859,617","42,810,959"
"Genezio - EL GEMANO","64","","33","","1,218,286","42,042,939"
"Ninho - Vérité","61","6","3","(x2)","3,447,599","41,996,515"
"RK - Lola","52","7","7","","1,272,703","41,955,200"
"Leto - Macaroni","66","7","2","(x2)","2,796,653","41,939,184"
"PLK - Ça mène à rien","51","3","2","(x2)","2,465,639","41,917,181"
"Central Cee - Doja","54","7","6","","1,648,593","41,874,375"
"VEN1 - Vanilla","57","","14","","1,693,339","41,845,414"
"UZI - GARS DU ZOO","49","","19","","1,359,632","41,801,542"
"Maes - Billets verts","82","1","7","","1,076,715","41,689,790"
"DJ Snake - Loco Contigo","57","10","1","(x3)","2,263,861","41,435,531"
"Rambo goyard - B.M.S (by my side)","17","16","2","(x2)","3,633,007","41,380,501"
"Tiakola - PONA NINI","50","3","7","","1,980,642","41,368,557"
"4Keus - MD","46","11","5","","1,877,217","41,291,739"
"No Limit - LA RUE","37","9","1","(x3)","2,715,954","41,273,079"
"Zola - Papers","63","6","5","","2,343,177","41,083,506"
"ROSALÍA - LA FAMA","51","7","5","","1,493,430","41,023,826"
"Hatik - La meilleure","61","","15","","1,235,278","40,907,767"
"Bouss - Biff pas d'love","34","9","6","","1,800,210","40,887,636"
"Regard - Ride It","67","","17","","1,026,282","40,875,819"
"La Rvfleuze - Serrure #5","37","2","9","","1,722,746","40,809,373"
"Hamza - Murder","73","","23","","1,187,692","40,746,911"
"Sevdaliza - Alibi","35","","13","","1,552,233","40,650,951"
"L2B - Tout Pour L'équipe","52","","12","","1,832,010","40,531,568"
"Drake - One Dance","96","31","1","(x20)","1,030,951","40,505,316"
"The Police - Every Breath You Take","88","","48","","763,050","40,368,486"
"Jul - Bwo","60","","16","","1,636,995","40,269,079"
"Jul - Bande organisée","8","8","1","(x8)","5,742,186","40,264,409"
"Ravyn Lenae - Love Me Not","51","","36","","980,791","40,242,646"
"Zaho de Sagazan - La symphonie des éclairs","57","","23","","1,229,971","40,167,293"
"Therapie TAXI - Hit Sale","99","","11","","864,349","40,049,770"
"Kungs - Never Going Home","61","10","5","","1,574,027","39,997,987"
"Billie Eilish - bad guy","74","","14","","1,050,043","39,686,084"
"Pierre Garnier - Ceux qu'on était","18","12","1","(x1)","4,701,617","39,685,429"
"Gazo - CELINE 3X","54","3","5","","1,804,092","39,527,326"
"Roddy Ricch - The Box","57","11","4","","1,743,623","39,470,146"
"PNL - 91's","60","7","1","(x3)","3,600,305","39,440,467"
"Koba LaD - Coffre plein","53","9","2","(x2)","2,780,673","39,346,649"
"Leto - Tes parents","69","","14","","1,065,434","39,297,077"
"GIMS - LOCO","44","","34","","1,178,207","39,212,911"
"PLK - Problèmes","59","12","5","","1,730,735","39,209,876"
"Imagine Dragons - Bones","67","","24","","1,021,757","39,090,304"
"Le classico organisé - Le classico organisé","46","3","1","(x1)","2,792,560","39,041,812"
"PNL - Hasta la vista","78","2","6","","3,443,597","39,023,859"
"RnBoi - BTRD","44","1","9","","1,490,720","38,987,609"
"Niska - Bâtiment","51","8","2","(x1)","2,655,517","38,924,140"
"Adam Port - Move","56","","17","","1,523,843","38,845,112"
"The Neighbourhood - Sweater Weather","79","","81","","611,377","38,632,373"
"Heuss L'enfoiré - Aristocrate","73","","31","","786,139","38,594,761"
"Naps - La danse des bandits","59","","11","","1,281,397","38,582,666"
"Werenoi - Ciao","51","3","6","","1,551,154","38,541,553"
"Doja Cat - Woman","52","6","7","","1,604,857","38,476,001"
"Ed Sheeran - Shivers","50","2","10","","1,323,813","38,412,828"
"Maes - Fetty Wap","39","10","2","(x1)","2,115,609","38,347,553"
"GAYLE - abcdefu","44","8","5","","1,479,187","38,333,462"
"Aya Nakamura - Copines","54","19","1","(x1)","1,781,830","38,313,577"
"ZZ - 4h44","40","","13","","1,472,212","38,096,607"
"Lartiste - Mafiosa","55","18","1","(x4)","1,736,191","38,062,908"
"Doja Cat - Paint The Town Red","37","8","7","","1,942,284","38,048,405"
"Harry Styles - Watermelon Sugar","80","","25","","891,077","37,920,779"
"Aya Nakamura - Jolie nana","38","8","1","(x4)","3,963,119","37,796,617"
"Naza - Loin de moi","58","5","8","","1,319,672","37,790,874"
"XXXTENTACION - Moonlight","82","1","7","","1,242,119","37,671,528"
"Dua Lipa - Dance The Night (From Barbie The Album)","47","6","5","","1,453,597","37,666,287"
"Kpoint - Ma 6t a craqué","59","11","3","(x2)","1,733,779","37,640,356"
"Anyme023 - Shamballa","38","2","9","","1,805,587","37,585,075"
"CKay - love nwantiti (ah ah ah)","53","5","6","","1,529,807","37,555,066"
"Werenoi - Triple V","51","2","1","(x1)","3,470,860","37,508,691"
"La Mano 1.9 - I'M SORRY","52","","15","","1,617,314","37,461,408"
"Heuss L'enfoiré - Les méchants","64","8","4","","1,394,444","37,408,113"
"Aya Nakamura - 40%","47","8","7","","1,549,478","37,121,164"
"Damso - N. J Respect R","94","2","9","","963,478","37,019,933"
"Gazo - MAUVAIS 2X","49","","13","","1,862,946","36,883,896"
"Leto - J’crois qu’ils ont pas compris","34","6","3","(x2)","2,613,656","36,632,682"
"KAROL G - Tusa","48","4","7","","1,222,525","36,606,553"
"SCH - Je la connais","77","","16","","969,695","36,603,692"
"Jok'air - Las Vegas","104","","89","","522,233","36,506,185"
"Bramsito - Sale mood","62","10","3","(x2)","1,330,027","36,447,760"
"Billie Eilish - WILDFLOWER","64","","52","","964,605","36,077,077"
"Major Lazer - Lean On","134","29","1","(x18)","660,696","35,858,753"
"Zara Larsson - Lush Life","103","","12","","1,030,643","35,749,151"
"Rema - Calm Down","56","","23","","1,022,459","35,724,192"
"Dadi - Bah Ouais - Nouvelle École","25","7","4","","2,589,186","35,612,654"
"KeBlack - Complètement sonné","68","3","8","","975,206","35,508,283"
"David Guetta - I Don't Wanna Wait","37","","14","","1,653,120","35,423,606"
"Ninho - Collabo","42","1","10","","1,656,175","35,356,683"
"Aya Nakamura - Baby","37","9","3","(x2)","2,707,849","35,291,247"
"Trois Cafés Gourmands - À nos souvenirs","83","","27","","669,836","35,245,403"
"Franglish - My Salsa","46","5","5","","1,655,505","35,236,036"
"GIMS - BLOQUÉ","25","6","6","","1,921,000","35,191,507"
"PNL - A l'Ammoniaque","67","5","1","(x3)","3,148,297","35,187,559"
"Kenya Grace - Strangers","31","4","7","","1,603,500","35,185,729"
"Bad Bunny - DÁKITI","45","10","4","","1,267,155","35,157,604"
"La Mano 1.9 - Sexy Woman","41","","11","","1,659,002","35,072,361"
"Jul - J'fais plaisir à la zone","35","6","4","","2,086,395","35,018,839"
"DA Uzi - Michael Jordan","45","","16","","1,609,419","34,997,792"
"Booba - Ridin'","64","2","4","","2,041,939","34,781,652"
"Damso - 911","65","1","7","","2,729,936","34,749,024"
"Dua Lipa - Training Season","40","","18","","1,502,900","34,746,889"
"Maes - Street","43","4","4","","2,736,765","34,614,935"
"CKay - Emiliana","40","3","10","","1,234,310","34,451,577"
"Riton - Friday","55","","11","","1,217,573","34,387,154"
"Teddy Swims - The Door","51","","34","","1,009,649","34,372,712"
"Mark Ambor - Belong Together","46","","23","","1,279,146","34,364,997"
"Ofenbach - Head Shoulders Knees & Toes","57","","13","","1,110,722","34,262,714"
"Kate Bush - Running Up That Hill (A Deal With God)","42","6","2","(x2)","2,300,257","34,160,415"
"GIMS - Où aller","41","","15","","1,646,741","34,152,890"
"Gambi - Dans l'espace","35","7","1","(x4)","5,113,117","34,134,586"
"Lefa - Bitch","58","3","7","","1,311,102","34,064,885"
"Internet Money - Lemonade","52","3","8","","1,256,248","34,060,553"
"La Fouine - Flying Blue","33","","18","","1,305,513","34,013,342"
"Tiakola - La clé","71","","48","","689,413","34,004,960"
"Booba - JAUNÉ","44","9","1","(x1)","2,353,803","33,974,780"
"Vitaa - Avant toi","73","","18","","1,124,888","33,868,145"
"PNL - Jusqu'au dernier gramme","115","","11","","685,208","33,836,655"
"Djo - End of Beginning","35","3","9","","1,930,543","33,701,151"
