"Artist and Title","Wks","T10","Pk","(x?)","PkStreams","Total"
"Taylor Swift - Actually Romantic","1","","65","","821,906","821,906"
"OBOY - Ariel","2","","75","","534,135","820,989"
"Jul - Fatigué","2","","79","","535,304","820,933"
"Dosseh - A45","2","","126","","412,114","820,210"
"Lomepal - Plus de larmes - maquette mai 2018","2","","74","","542,876","819,821"
"Kaaris - Détails","2","","56","","553,416","818,914"
"Jul - C'est réel","9","","68","","149,767","818,845"
"Vegedream - Du temps","4","","150","","221,670","818,215"
"Maes - Quotidien","1","","58","","818,047","818,047"
"SCH - Hells Kitchen","1","","73","","817,781","817,781"
"Médine - Grand Paris 2","2","","59","","502,364","817,638"
"Kekra - Dans l'dos","2","","67","","537,942","817,252"
"Boulevard des Airs - Bruxelles","11","","167","","78,383","817,013"
"Landy - Chasse à l'homme","2","","55","","494,720","816,775"
"Philip - Marbella","3","","174","","279,104","816,735"
"Greg June - How Many Times","5","","128","","182,434","816,552"
"Ed Sheeran - Overpass Graffiti","2","","71","","492,987","815,030"
"Lacrim - J'ai mal","10","","71","","137,023","814,472"
"Booska-P - HITMAN","2","","183","","407,657","811,760"
"Zkr - 59 Carats","2","","65","","521,198","811,314"
"Ronisia - Nha Terra","2","","106","","470,230","810,880"
"Laylow - PLUG","2","","82","","519,608","809,927"
"UZI - Rotterdam","2","","95","","498,224","809,926"
"DTF - Dans ma fonce","2","","77","","512,314","809,077"
"James Arthur - Train Wreck","3","","173","","275,897","808,631"
"Sia - Genius","3","","149","","274,416","807,856"
"Elliot Moss - Big Bad Wolf","23","","49","","70,149","807,553"
"Djadja & Dinaz - On parle pas","4","","53","","324,387","807,388"
"David Guetta - Family Affair (Dance For Me)","2","","116","","414,276","806,758"
"Rsko - Palavé","2","","97","","496,450","806,628"
"Lpee - East London (Nouvelle École)","2","","165","","415,310","805,494"
"Hamza - Bac +12","2","","72","","531,399","805,429"
"Booba - FREESTYLE PIRATE","2","","59","","495,308","805,301"
"Orelsan - CP_002_ Les aventures de MiniSan","1","","39","","805,293","805,293"
"Mig - Les frères","2","","108","","470,082","804,790"
"Carbozo - Carbozo 2.0","3","","178","","270,687","804,491"
"Travis Scott - MODERN JAM","1","","49","","804,154","804,154"
"Djadja & Dinaz - Mon temps","2","","86","","476,679","802,811"
"Jérémy Frerot - Revoir","3","","157","","277,774","802,223"
"Koba LaD - Le magot","2","","75","","521,346","802,054"
"Booba - GM","1","","64","","801,402","801,402"
"Oliver Tree - Life Goes On","3","","184","","269,363","801,257"
"Kaaris - Aborigène","2","","80","","476,067","800,653"
"Dala - 32","2","","87","","461,253","800,238"
"Laylow - Ça Va Pas Être Possible...","1","","48","","799,222","799,222"
"Dadju - Déjà donné","3","","67","","379,858","799,146"
"Madonna - Ghosttown","14","","80","","71,855","799,138"
"Ed Sheeran - Dive","4","","50","","316,984","798,837"
"Kendji Girac - Maria Maria","3","","79","","309,861","798,583"
"Mathieu Koss - Never Growing Up","3","","154","","276,688","797,693"
"Kalash - I Love You","2","","77","","485,149","797,464"
"Djadja & Dinaz - Mayday","1","","51","","796,936","796,936"
"PLK - Corazon","2","","80","","542,566","796,837"
"Mister V - Gville","3","","34","","458,039","796,338"
"Travis Scott - SIRENS","1","","50","","795,996","795,996"
"Nej - Ma colombe","3","","198","","265,564","795,684"
"GIMS - MAL AMOR","1","","53","","795,298","795,298"
"Garou - Jingle Bell Rock","2","","134","","603,770","795,081"
"DA Uzi - Da Vinci","2","","62","","540,416","795,057"
"Shay - Cocorico","3","","114","","311,988","794,749"
"Sofiane - 93 empire","5","","92","","216,006","794,308"
"Sadek - Alliance","2","","63","","500,546","792,933"
"Arctic Monkeys - Do I Wanna Know?","27","","30","","39,031","792,633"
"Soso Maness - Zumba Cafew","2","","90","","450,312","792,503"
"Soolking - Chihuahua","2","","77","","490,498","792,301"
"Zkr - Même valeurs","2","","123","","406,389","791,963"
"Kalash Criminel - 47 AK","2","","39","","554,899","791,889"
"PNL - Tempête","11","","86","","93,766","791,417"
"Vald - Non stop","2","","50","","517,805","790,279"
"RK - Diva","2","","83","","495,189","790,154"
"Sia - Santa's Coming for Us","3","","51","","407,079","789,462"
"Céline Dion - J'Irai Ou Tu Iras - en duo avec Jean-Jacques Goldman","2","","162","","462,715","789,451"
"7 Jaws - Jusqu'à la fin","2","","93","","444,904","788,317"
"Hamza - Minuit 13","2","","51","","536,341","787,963"
"Fauve - BLIZZARD","28","","29","","49,791","787,919"
"Djadja & Dinaz - Moi aussi","1","","52","","787,703","787,703"
"Maes - Depardieu","2","","46","","534,263","787,136"
"Tiakola - PING PONG","1","","69","","787,085","787,085"
"Lacrim - Nuit blanche","3","","39","","435,733","785,737"
"Taylor Swift - Ruin The Friendship","1","","69","","785,724","785,724"
"Gambi - Khedma","2","","104","","469,307","785,475"
"Kerchak - 2006 - Opps qui court","2","","146","","401,022","784,527"
"Maes - Panamera","2","","47","","531,765","784,455"
"Djadja & Dinaz - Chacun son sort","2","","81","","490,804","783,773"
"Imagine Dragons - On Top Of The World","16","","80","","284,179","783,713"
"Caballero & JeanJass - Béatrice","2","","135","","417,608","783,452"
"Taylor Swift - Wi$h Li$t","1","","70","","783,320","783,320"
"Lomepal - 200","2","","82","","517,113","782,522"
"Soolking - Tata","2","","59","","499,935","782,366"
"Taylor Swift - Wood","1","","71","","782,226","782,226"
"Jul - Je tourne en rond","19","","93","","68,256","781,719"
