"Pos","Artist and Title","Popularity"
"112","The Chainsmokers & Coldplay - Something Just Like This","0.22367"
"113","Luis Fonsi & Demi Lovato - Échame La Culpa","0.22325"
"114","DJ Snake - Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)","0.22125"
"115","L.E.J - Summer 2015","0.22039"
"116","Cris Cab - Liar Liar","0.22014"
"117","Nicky Jam & J Balvin - X","0.21994"
"118","Amir - Longtemps","0.21930"
"119","Enrique Iglesias - DUELE EL CORAZON (feat. Wisin)","0.21865"
"120","Emma Louise - Jungle","0.21791"
"121","Sam Smith - Stay With Me","0.21760"
"122","Clean Bandit - Rockabye (feat. Sean Paul & Anne-Marie)","0.21607"
"123","Christophe Maé - Il est où le bonheur","0.21540"
"124","Lorde - Royals","0.21471"
"125","Kungs - Don't You Know (feat. Jamie N Commons)","0.21351"
"126","Mariah Carey - All I Want For Christmas Is You","0.21276"
"127","Vitaa - Un peu de rêve (en duo avec Claudio Capeo)","0.21254"
"128","Kygo - Firestone (feat. Conrad Sewell)","0.21008"
"129","The Avener & Kadebostany - Castle In the Snow","0.20984"
"130","Avicii - Addicted To You","0.20944"
"131","Miley Cyrus - Wrecking Ball","0.20567"
"132","Yall - Hundred Miles (feat. Gabriela Richardson)","0.20458"
"133","OneRepublic - Counting Stars","0.20426"
"134","DJ Snake - Let Me Love You (feat. Justin Bieber)","0.20376"
"135","twenty one pilots - Heathens","0.20052"
"136","Amir - J'ai cherché","0.19801"
"137","George Ezra - Budapest","0.19790"
"138","Katy Perry - Roar","0.19756"
"139","Kaleo - Way Down We Go","0.19740"
"140","Coldplay - Adventure of a Lifetime","0.19581"
"141","Rag'n'Bone Man - Skin","0.19562"
"142","Clean Bandit - Solo (feat. Demi Lovato)","0.19541"
"143","Mike Posner - I Took a Pill in Ibiza (SeeB Remix)","0.19511"
"144","Rihanna - Work (feat. Drake)","0.19510"
"145","Julian Perretta - Miracle","0.19505"
"146","The Avener & Phoebe Killdeer - Fade Out Lines (The Aven...","0.19386"
"147","Soprano - Cosmo","0.19379"
"148","Kalash - Mwaka Moon (feat. Damso)","0.19209"
"149","Synapson - All In You (feat. Anna Kova)","0.19087"
"150","Jason Derulo - Want to Want Me","0.19026"
"151","Kygo & Selena Gomez - It Ain't Me","0.19003"
"152","Klingande - Jubel","0.18970"
"153","Angèle - Balance ton quoi","0.18920"
"154","Anaïs Delva - Libérée, délivrée","0.18912"
"155","Imagine Dragons - Natural","0.18896"
