"Video","Views","Yesterday"
"ZAYN - Dusk Till Dawn (Official Video) ft. Sia","2,385,094,085","296,696"
"Romeo Santos - Propuesta Indecente (Official Video)","2,384,653,268","362,672"
"twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO]","2,364,583,924","323,106"
"X (EQUIS) - Nicky Jam x J. Balvin | Video Oficial  (Prod. Afro Bros & Jeon)","2,338,933,311","133,110"
"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin - China (Video Oficial)","2,329,141,435","352,002"
"Becky G, NATTI NATASHA - Sin Pijama (Official Video)","2,321,769,425","173,884"
"Justin Bieber - What Do You Mean?","2,317,827,941","172,674"
"The Chainsmokers - Don't Let Me Down (Official Video) ft. Daya","2,312,312,137","361,009"
"The Weeknd - The Hills","2,290,048,137","257,416"
"TONES AND I - DANCE MONKEY (OFFICIAL VIDEO)","2,289,090,563","204,956"
"ROSALÍA, J Balvin - Con Altura (Official Video) ft. El Guincho","2,279,352,011","143,382"
"Piso 21 & Manuel Turizo - Déjala Que Vuelva (Video Oficial)","2,269,862,546","407,473"
"Future - Life Is Good (Official Music Video) ft. Drake","2,259,589,776","133,806"
"Coldplay - Hymn For The Weekend (Official Video)","2,251,078,717","354,740"
"In The End [Official HD Music Video] - Linkin Park","2,243,335,936","677,355"
"J. Balvin - Ay Vamos (Official Video)","2,226,755,067","400,468"
"Rag'n'Bone Man - Human (Official Video)","2,222,524,033","510,310"
"BLACKPINK - 'Kill This Love' M/V","2,206,040,685","314,268"
"Nirvana - Smells Like Teen Spirit (Official Music Video)","2,169,623,161","508,949"
"Bruno Mars - Just The Way You Are (Official Music Video)","2,158,495,858","490,096"
"4 Non Blondes - What's Up (Official Music Video)","2,151,915,876","861,857"
"David Guetta - Titanium ft. Sia (Official Video)","2,143,407,638","501,165"
"Drake - Hotline Bling","2,129,975,230","232,063"
"The Weeknd - Save Your Tears (Official Music Video)","2,125,892,637","932,635"
"Jessie J - Bang Bang ft. Ariana Grande, Nicki Minaj","2,125,876,855","156,978"
"Daddy Yankee - Dura (Video Oficial)","2,091,711,002","182,802"
"Michael Jackson - Billie Jean (Official Video)","2,089,959,177","2,215,129"
"BTS (방탄소년단) 'Dynamite' Official MV","2,079,715,603","389,889"
"Una Lady Como Tú - MTZ Manuel Turizo | Video Oficial","2,075,359,310","371,339"
"Eminem - Not Afraid","2,074,118,110","355,104"
"Ozuna x Romeo Santos - El Farsante (Remix) (Video Oficial)","2,072,118,055","258,718"
"Camila Cabello - Havana (Audio) ft. Young Thug","2,062,970,920","141,545"
"Danny Ocean -  Me Rehúso (Official Audio)","2,057,315,194","286,638"
"Coldplay - Paradise (Official Video)","2,052,918,120","376,307"
"Queen – Bohemian Rhapsody (Official Video Remastered)","2,050,895,823","363,797"
"Lady Gaga - Bad Romance (Official Music Video)","2,042,687,858","332,860"
"P!nk - Just Give Me A Reason ft. Nate Ruess","2,036,866,859","397,830"
"CantaJuego - Soy Una Taza (Version Mexico)","2,024,394,265","908,266"
"Silentó - Watch Me (Whip/Nae Nae) (Official)","2,004,653,646","101,550"
"Coolio - Gangsta's Paradise (feat. L.V.) [Official Music Video]","1,997,995,490","753,758"
"BLACKPINK - 'How You Like That' DANCE PERFORMANCE VIDEO","1,989,589,973","503,696"
"DJ Snake - Let Me Love You ft. Justin Bieber","1,987,909,499","1,257,198"
"Ricky Martin - Vente Pa' Ca (Official Video) ft. Maluma","1,976,852,999","90,424"
"Maluma - Felices los 4 (Official Video)","1,975,817,983","116,222"
"Sia - Cheap Thrills (Official Lyric Video) ft. Sean Paul","1,972,302,717","110,522"
"Shawn Mendes, Camila Cabello - Señorita","1,968,323,116","622,099"
"MACKLEMORE & RYAN LEWIS - THRIFT SHOP FEAT. WANZ (OFFICIAL VIDEO)","1,966,802,422","147,214"
"Justin Timberlake - CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"") (Official Video)","1,958,096,110","306,903"
"Carlos Vives, Sebastián Yatra - Robarte un Beso (Official Video)","1,957,110,008","317,428"
"Chino y Nacho - Andas En Mi Cabeza ft. Daddy Yankee","1,949,431,387","204,274"
"MC Fioti - Bum Bum Tam Tam (KondZilla) | Official Music Video","1,946,606,310","153,298"
"Alex Rose  ft. Cazzu, Lenny Tavarez, Lyanno & Rauw Alejandro - Toda (Remix) [Video Oficial]","1,940,312,654","341,933"
"CNCO - Reggaetón Lento (Bailemos)","1,934,363,225","239,737"
"Guns N' Roses - Sweet Child O' Mine (Official Music Video)","1,934,243,396","604,060"
"BTS (방탄소년단) '작은 것들을 위한 시 (Boy With Luv) (feat. Halsey)' Official MV","1,928,191,399","248,185"
"French Montana - Unforgettable ft. Swae Lee","1,920,136,702","317,390"
"Ozuna - Se Preparó (Video Oficial) | Odisea","1,919,610,757","299,542"
"DJ Khaled - I'm The One ft. Justin Bieber, Quavo, Chance the Rapper, Lil Wayne","1,916,812,485","245,179"
"Whitney Houston - I Will Always Love You (Official 4K Video)","1,894,997,916","494,174"
"BLACKPINK - '붐바야 (BOOMBAYAH)' M/V","1,871,465,944","240,162"
"Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) [Official Music Video]","1,867,669,884","89,833"
"Arctic Monkeys - Do I Wanna Know? (Official Video)","1,864,949,231","277,508"
"Martin Garrix - Animals (Official Video)","1,858,879,033","192,809"
"James Arthur - Say You Won't Let Go","1,850,981,630","263,556"
"Lady Gaga, Bradley Cooper - Shallow (from A Star Is Born) (Official Music Video)","1,847,351,790","294,220"
"Lehanga : Jass Manak (Official Video) Satti Dhillon - India's Most Viewed Song - Hit Punjabi Song","1,846,707,942","223,772"
"Dwayne Johnson - You're Welcome (from Moana/Official Video)","1,838,200,172","305,431"
"Carly Rae Jepsen - Call Me Maybe","1,831,019,343","391,710"
"The Cranberries - Zombie (Official Music Video)","1,824,076,255","423,404"
"HA-ASH - Lo Aprendí de Ti (Primera Fila - Hecho Realidad [En Vivo])","1,819,789,988","278,509"
"Justin Bieber - Love Yourself (PURPOSE : The Movement)","1,818,721,266","241,425"
"Nelly - Dilemma (Official Music Video) ft. Kelly Rowland","1,809,276,016","339,420"
"Carlos Vives, Shakira - La Bicicleta","1,799,358,362","167,739"
"Beyoncé - Halo","1,797,374,718","402,632"
"Shakira - Hips Don't Lie (featuring Wyclef Jean) (Official 4K Video) ft. Wyclef Jean","1,792,170,118","655,159"
"Bruno Mars - 24K Magic (Official Music Video)","1,790,402,080","255,622"
"Mike Posner - I Took A Pill In Ibiza (Seeb Remix) (Explicit)","1,787,813,783","171,179"
"Wisin - Escápate Conmigo (Official Video) ft. Ozuna","1,785,599,828","252,712"
"Charlie Puth - Attention [Official Video]","1,783,096,204","428,867"
"Daddy Yankee - Shaky Shaky (Video Oficial)","1,777,411,663","111,958"
"Tyga - Taste (Official Video) ft. Offset","1,774,349,623","288,042"
"Sam Smith - I'm Not The Only One (Official Music Video)","1,773,292,605","48,731"
"Calvin Harris - Summer (Official Video)","1,772,988,561","199,962"
"Rick Astley - Never Gonna Give You Up (Official Video) (4K Remaster)","1,768,163,839","393,007"
"52 GAJ KA DAMAN | PRANJAL DAHIYA | AMAN JAJI | RENUKA PANWAR  | MUKESH JAJI | SAHIL SANDHU","1,766,676,850","254,831"
"Lukas Graham - 7 Years [Official Music Video]","1,764,529,169","431,103"
"Maluma - Corazón (Official Video) ft. Nego do Borel","1,764,123,463","159,980"
"Myke Towers, Farruko, Arcangel, Sech & Zion - Si Se Da Remix (Video Oficial)","1,752,581,780","575,841"
"Rahat Fateh Ali Khan - Zaroori Tha","1,742,687,293","224,058"
"Taylor Swift - You Belong With Me","1,740,155,449","180,925"
"BAD BUNNY x JHAY CORTEZ - DÁKITI (Video Oficial)","1,740,003,201","501,389"
"Maari 2 - Rowdy Baby (Video Song) | Dhanush, Sai Pallavi | Yuvan Shankar Raja | Balaji Mohan","1,739,392,756","172,705"
"Backstreet Boys - I Want It That Way (Official HD Video)","1,737,387,510","606,599"
"Gente de Zona - La Gozadera (Official Video) ft. Marc Anthony","1,736,219,897","174,565"
"PSY - GENTLEMAN M/V","1,735,274,869","180,167"
"Cardi B, Bad Bunny & J Balvin - I Like It [Official Music Video]","1,735,156,138","192,279"
"Coldplay - Adventure Of A Lifetime (Official Video)","1,729,887,107","382,727"
"Vaaste Song: Dhvani Bhanushali, Tanishk Bagchi | Nikhil D'Souza | Bhushan Kumar | Radhika R, Vinay S","1,729,380,695","249,148"
"David Guetta - Hey Mama (Official Video) ft Nicki Minaj, Bebe Rexha & Afrojack","1,723,331,011","105,082"
"Lady Gaga - Poker Face (Official Music Video)","1,716,870,491","651,652"
"AC/DC - Thunderstruck (Official Video)","1,715,470,803","539,567"
"Evanescence - Bring Me To Life (Official HD Music Video) ft. Paul McCoy","1,712,639,317","522,332"
"Post Malone - Congratulations (Official Music Video) ft. Quavo","1,711,946,375","155,966"
"Shawn Mendes - Stitches (Official Music Video)","1,706,555,890","220,987"
"Calvin Harris & Disciples - How Deep Is Your Love","1,703,803,946","116,471"
"Aqua - Barbie Girl (Official Music Video)","1,702,762,381","286,490"
